article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
188004,25,89,60,502,5,12147,712,12.0,True
3291,24,41,35,355,2,8217,448,10.5,True
5262743,0,0,0,2,0,12,1,20.2,False
2880744,4,67,27,153,4,4984,265,10.0,True
3624337,0,0,0,7,0,78,1,26.5,False
69161,6,80,39,271,3,7572,523,10.7,True
560469,8,16,18,130,15,4496,286,10.3,True
8141922,0,1,3,31,4,223,15,9.7,False
3402723,10,38,14,84,5,5230,319,8.6,True
7408560,13,55,22,261,3,4022,328,11.5,True
3840777,35,75,59,804,9,14539,1039,9.8,True
282241,40,33,38,285,4,12730,736,10.0,True
5045916,0,0,0,3,0,30,1,18.5,False
4031922,0,0,1,18,2,659,26,11.6,False
2251270,2,10,7,37,4,1174,78,10.7,False
9435487,1,2,3,24,6,176,19,10.1,False
7277803,1,0,0,126,2,2,1,22.1,False
562674,12,24,16,121,1,4123,303,8.9,True
3969,10,17,28,265,6,5070,288,12.3,True
3530,12,73,35,351,17,13596,953,10.5,True
5395481,1,1,2,18,2,142,13,13.0,False
8423439,0,0,0,0,3,4,1,27.3,False
8783762,1,2,2,3,2,125,10,12.0,False
5459484,5,59,18,181,6,4846,283,10.6,True
885734,0,61,19,193,11,7295,658,10.6,True
5073800,129,9,3,212,3,1868,118,10.8,False
855176,28,169,54,963,9,16319,1124,10.5,True
8468977,0,4,2,26,6,198,16,8.1,False
963206,9,22,27,221,1,8450,531,10.6,True
244788,6,22,34,638,5,8261,518,10.8,True
7640484,1,7,6,31,5,443,33,11.5,False
3363680,0,0,2,8,0,3,1,10.4,False
4170776,0,1,3,12,2,100,6,13.7,False
7245661,0,1,8,44,1,326,34,11.0,False
4787,11,84,33,259,5,6985,477,9.6,True
2408034,14,20,23,160,9,4954,282,10.1,True
